50_50,attacking_direction,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_duel_win_probability,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_duel_win_probability,duel_hops_opponent_rating,duel_hops_opponent_raw_rating,duel_hops_rating,duel_hops_raw_rating,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,miscontrol_duel_win_probability,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_duel_win_probability,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,set_piece_phase,shot_aerial_won,shot_body_part,shot_duel_win_probability,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,bad_behaviour_card,block_deflection,block_offensive,dribble_no_touch,foul_committed_offensive,pass_backheel,pass_cut_back,shot_follows_dribble,shot_one_on_one,block_save_block,foul_committed_penalty,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,player_off_permanent,shot_saved_off_target,shot_saved_to_post,ball_recovery_offensive,pass_miscommunication,shot_deflected,shot_shot_shot_assist,goalkeeper_punched_out,pass_straight,foul_won_penalty,clearance_other,half_start_late_video_start,shot_open_goal,goalkeeper_success_in_play,shot_shot_goal_assist,shot_redirect,goalkeeper_lost_out,goalkeeper_success_out,Match
,left_to_right,,,,,,,,,,,,,,,,,,,,,0.6466500000001397,,,,,,,,,,,,06f01fcc-8754-4120-8ff0-5c98054ec4cd,1064,,,"[112.4, 36.9, 1.91]",4004425,25,,,0.0079397513,0.0079397513,0.0,0.9112781882,0.1545309126,0.7567472756,0.7567472756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cesare Casadei,44736.0,Right Center Midfield,53,Torino,241,['6428e786-5b1b-485b-928c-8f899b64634e'],29,,,Head,,"[120.0, 37.6, 1.1]",,"[{'location': [88.2, 52.8], 'player': {'id': 145596, 'name': 'Emirhan İlkhan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.1, 36.7], 'player': {'id': 6961, 'name': 'Rolando Mandragora'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.9, 31.7], 'player': {'id': 10322, 'name': 'Domilson Cordeiro dos Santos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.7, 54.3], 'player': {'id': 36866, 'name': 'Marco Brescianini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [87.2, 67.6], 'player': {'id': 305343, 'name': 'Luca Marianucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.1, 42.0], 'player': {'id': 38909, 'name': 'Nicolò Fagioli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.9, 62.3], 'player': {'id': 6306, 'name': 'Albert Gudmundsson'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [112.4, 36.9], 'player': {'id': 44736, 'name': 'Cesare Casadei'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.5, 44.5], 'player': {'id': 311348, 'name': 'Pietro Comuzzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 47.7], 'player': {'id': 12827, 'name': 'Sandro Kulenovic'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.4, 64.0], 'player': {'id': 9466, 'name': 'Che Adams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.7, 54.8], 'player': {'id': 49510, 'name': 'Fabiano Parisi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.7, 40.5], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.7, 60.4], 'player': {'id': 11280, 'name': 'Valentino Lazaro'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [102.2, 62.8], 'player': {'id': 8773, 'name': 'Marin Pongracic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",0.0086236,0.8615242243,-0.1384757757,a2a323f6-652a-4048-85f7-8e5a35bcbbd2,Goal,0.9112781882,0.6302909851,0.2809872031,Normal,Open Play,,,,,,Torino,241,00:25:29.909,Shot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,Fiorentina - Torino
,right_to_left,,,,,,,,,,,,,,,,,,,,,1.0085809999997728,,,,,,,,,,,,0014e613-75bc-4d65-8103-70cea1102f95,3342,,,"[112.2, 35.2, 2.2]",4004425,93,,,0.0083100786,0.0083100786,0.0,0.1232520863,0.0847922266,0.0384598597,0.0384598597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Guillermo Alfonso Maripán Loaysa,6855.0,Center Back,175,Torino,241,"['35d9d93c-e64c-5574-b647-6527f08f2e73', 'b5dffaa1-634a-4d2a-9a32-91de22fa94b6']",5,1.0,True,Head,0.6902,"[120.0, 43.5, 0.8]",,"[{'location': [94.5, 12.1], 'player': {'id': 137321, 'name': 'Gvidas Gineitis'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.0, 32.6], 'player': {'id': 21736, 'name': 'Zakaria Aboukhlal'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [100.0, 40.3], 'player': {'id': 30124, 'name': 'Marcus Holmgren Pedersen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [105.8, 41.0], 'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.6, 44.4], 'player': {'id': 44736, 'name': 'Cesare Casadei'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.8, 45.6], 'player': {'id': 36803, 'name': 'Faustino Anjorin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.8, 40.7], 'player': {'id': 305343, 'name': 'Luca Marianucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.7, 37.0], 'player': {'id': 52324, 'name': 'Saúl Basilio Coco-Bassey Oubiña'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.2, 35.2], 'player': {'id': 6855, 'name': 'Guillermo Alfonso Maripán Loaysa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [111.8, 34.3], 'player': {'id': 7159, 'name': 'Giovanni Pablo Simeone'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.2, 15.8], 'player': {'id': 9616, 'name': 'Jack Harrison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.3, 29.8], 'player': {'id': 10322, 'name': 'Domilson Cordeiro dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [104.8, 38.8], 'player': {'id': 38909, 'name': 'Nicolò Fagioli'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.2, 46.8], 'player': {'id': 132978, 'name': 'Cher Ndour'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.7, 43.0], 'player': {'id': 88241, 'name': 'Giovanni Fabbian'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.3, 40.9], 'player': {'id': 18525, 'name': 'Luca Ranieri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 38.8], 'player': {'id': 8773, 'name': 'Marin Pongracic'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.2, 39.0], 'player': {'id': 311348, 'name': 'Pietro Comuzzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.2, 36.7], 'player': {'id': 24847, 'name': 'Roberto Piccoli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.7, 35.8], 'player': {'id': 49510, 'name': 'Fabiano Parisi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",0.0869657546,0.7080570459,-0.2919429541,840725a6-da98-48f6-acba-ad669d8f7193,Goal,0.1232520863,0.0666332804,0.056618806,Normal,Open Play,,,,,,Torino,241,00:48:05.750,Shot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiorentina - Torino
,left_to_right,,,,,,,,,,,,,,,,,,,,,0.593,,,,,,,,,,,,16aa5eb5-4ab5-5ea7-aa3e-4b5627ca3ed0,1375,,,"[116.0, 34.7, 2.0]",4004248,37,,,0.0074166427,0.0074166427,0.0,0.5941768885,0.3643779755,0.229798913,0.229798913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ange-Yoan Bonny,51015.0,Left Center Forward,93,Inter Milan,238,['d0295c9e-7fab-5c46-b25b-86e5f60c5eb0'],43,,,Head,,"[120.0, 36.7, 1.0]",,"[{'location': [114.3, 44.7], 'player': {'id': 7792, 'name': 'Giuseppe Pezzella'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [114.4, 42.3], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 134334, 'name': 'Federico Baschirotto'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.7, 33.7], 'player': {'id': 6974, 'name': 'Federico Ceccherini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.7, 38.5], 'player': {'id': 57090, 'name': 'Warren Bondo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 20.1], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [108.3, 29.2], 'player': {'id': 6952, 'name': 'Alberto Grassi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 44.1], 'player': {'id': 16189, 'name': 'Dennis Johnsen'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [110.9, 17.2], 'player': {'id': 89293, 'name': 'Romano Floriani'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [117.9, 36.6], 'player': {'id': 8185, 'name': 'Marco Silvestri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.2, 13.6], 'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [120.0, 18.3], 'player': {'id': 12255, 'name': 'Federico Dimarco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [111.3, 48.3], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [110.2, 44.5], 'player': {'id': 11456, 'name': 'Lautaro Javier Martínez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.2, 35.3], 'player': {'id': 30926, 'name': 'Davide Frattesi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [93.0, 48.0], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",0.0360546708,0.6446778178,-0.3553221822,479d29d4-b131-58c1-a2a6-832ba55f9fb0,Goal,0.5941768885,0.3383710682,0.2558058202,Diving Header,Open Play,,,,,,Inter Milan,238,00:37:43.986,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inter Milan - Cremonese
,right_to_left,,,,,,,,,,,,,,,,,,,,,0.948,,,,,,,,,,,,7092fb32-52ad-53b7-abfd-1aa33470566e,2058,,,"[99.2, 29.9, 0.0]",4004248,54,,,0.0092177317,0.0092177317,0.0,0.1640088707,0.0540259406,0.1099829301,0.1099829301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Federico Dimarco,12255.0,Left Wing Back,132,Inter Milan,238,['289dbf20-9755-555c-bcbb-276800133344'],9,2.0,,Left Foot,,"[120.0, 43.8, 0.2]",True,"[{'location': [109.5, 46.3], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.7, 45.6], 'player': {'id': 89293, 'name': 'Romano Floriani'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [109.6, 44.7], 'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.1, 38.8], 'player': {'id': 6974, 'name': 'Federico Ceccherini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.5, 41.3], 'player': {'id': 134334, 'name': 'Federico Baschirotto'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.4, 37.3], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 52.1], 'player': {'id': 49411, 'name': 'Jari Vandeputte'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.4, 33.6], 'player': {'id': 57090, 'name': 'Warren Bondo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.4, 32.5], 'player': {'id': 6952, 'name': 'Alberto Grassi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.6, 27.1], 'player': {'id': 7792, 'name': 'Giuseppe Pezzella'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [117.3, 37.9], 'player': {'id': 8185, 'name': 'Marco Silvestri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.5, 45.2], 'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.1, 70.0], 'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [109.8, 42.9], 'player': {'id': 30926, 'name': 'Davide Frattesi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.7, 42.1], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.9, 40.4], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [110.5, 37.9], 'player': {'id': 11456, 'name': 'Lautaro Javier Martínez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.1, 19.6], 'player': {'id': 51015, 'name': 'Ange-Yoan Bonny'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",-0.0013167225,0.7200145721,-0.2799854279,59d902de-2adf-5ac0-bfe1-ecc89b2e9220,Goal,0.1640088707,0.1120920442,0.0519168265,Normal,Open Play,,,,,,Inter Milan,238,00:09:09.139,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inter Milan - Cremonese
